file,acc,f1_neg,f1_neu,f1_pos,f1_macro,f1_weighted
olivia rodrigo - obsessed (official music video) comments_analise,0.9466666666666667,0.9401709401709402,0.9222797927461139,0.9655172413793104,0.9426559914321215,0.947094073086569
lady gaga bruno mars - die with a smile (official music video) comments_analise,0.96,0.9174311926605505,0.907563025210084,0.989247311827957,0.9380805098995305,0.9603965393990287
rose  bruno mars - apt. (official music video) comments copy_analise,0.9533333333333334,0.9473684210526315,0.8737864077669902,0.9797101449275363,0.9336216579157194,0.9528818585086608
sabrina carpenter - espresso comments_analise,0.9333333333333333,0.9411764705882353,0.8507462686567164,0.962536023054755,0.9181529207665688,0.9359061616818434
dua lipa - training season (official music video) comments_analise,0.9033333333333333,0.918918918918919,0.8390804597701149,0.9333333333333333,0.8971109040074557,0.904129853991923
taylor swift - fortnight (feat. post malone) (official music video) comments_analise,0.8733333333333333,0.896969696969697,0.7445255474452555,0.9194630872483222,0.8536527772210915,0.8689391044625453
tyla - water (official audio) comments_analise,0.8883495145631068,0.85,0.7380952380952381,0.9375,0.8418650793650794,0.889623786407767
kendrick lamar - not like us comments_analise,0.8466666666666667,0.8825910931174089,0.7230769230769231,0.8789237668161435,0.8281972610034919,0.8475772892043837
charli xcx - guess featuring billie eilish (official video) comments_analise,0.8333333333333334,0.85,0.7362637362637363,0.8914728682170543,0.825912201493597,0.8291630036630037
sza - snooze (audio) comments_analise,0.85,0.8285714285714286,0.6446280991735537,0.9144254278728606,0.7958749852059476,0.8618139153578139
benson boone - beautiful things (official music video) comments_analise,0.8733333333333333,0.8376068376068376,0.6097560975609756,0.9376558603491272,0.7950062651723134,0.8795395622541173
chappell roan - good luck babe (official lyric video) comments_analise,0.82,0.735632183908046,0.7461139896373057,0.8875,0.7897487245151172,0.822723296706569
billie eilish - birds of a feather (official lyric video) comments_analise,0.81,0.5098039215686274,0.6927374301675978,0.9081081081081082,0.703549819948111,0.8212117408239656
artemas - i like the way you kiss me (lyric video) comments_analise,0.6956521739130435,0.6197183098591549,0.6071428571428571,0.7788778877887789,0.6685796849302635,0.6873725214960746
beyonc - texas hold 'em (official visualizer) comments_analise,0.7533333333333333,0.8493150684931506,0.4897959183673469,0.5,0.6130369956201659,0.7593593327742055
ariana grande - we can't be friends (wait for your love) (official music video) comments_analise,0.65,0.28205128205128205,0.5423728813559322,0.7884057971014493,0.5376099868362212,0.6771194376736013
