file,acc,f1_neg,f1_neu,f1_pos,f1_macro,f1_weighted
benson boone - beautiful things (official music video) comments_scored,0.72,0.7454545454545455,0.20253164556962025,0.8126520681265207,0.5868794197168955,0.7255323203391207
sabrina carpenter - espresso comments_scored,0.6466666666666666,0.5309734513274337,0.4626865671641791,0.7535410764872521,0.5824003649929549,0.6508566495906738
rose  bruno mars - apt. (official music video) comments copy_scored,0.6466666666666666,0.6754966887417219,0.32727272727272727,0.7374631268436578,0.5800775142860356,0.6487569097764256
dua lipa - training season (official music video) comments_scored,0.64,0.5794392523364486,0.4,0.7586206896551724,0.579353313997207,0.6259533784509614
olivia rodrigo - obsessed (official music video) comments_scored,0.5933333333333334,0.5225225225225225,0.46706586826347307,0.6832298136645962,0.5576060681501973,0.5847792032743867
kendrick lamar - not like us comments_scored,0.5666666666666667,0.6476190476190476,0.4166666666666667,0.5853658536585366,0.5498838559814169,0.5733877274487031
taylor swift - fortnight (feat. post malone) (official music video) comments_scored,0.6,0.5285714285714286,0.40298507462686567,0.7116564417177914,0.5477376483053619,0.5866595375445297
lady gaga bruno mars - die with a smile (official music video) comments_scored,0.6333333333333333,0.6111111111111112,0.2857142857142857,0.7421052631578947,0.5463102199944305,0.6259521024784183
charli xcx - guess featuring billie eilish (official video) comments_scored,0.5366666666666666,0.5263157894736842,0.45652173913043476,0.5984848484848485,0.5271074590296557,0.53361850773178
artemas - i like the way you kiss me (lyric video) comments_scored,0.5451505016722408,0.4444444444444444,0.5188284518828452,0.5923344947735192,0.518535797033603,0.5470324711063562
chappell roan - good luck babe (official lyric video) comments_scored,0.6066666666666667,0.3950617283950617,0.41509433962264153,0.7388888888888889,0.516348318968864,0.5909777544840438
billie eilish - birds of a feather (official lyric video) comments_scored,0.6233333333333333,0.2857142857142857,0.4121212121212121,0.7651715039577837,0.48766900059776047,0.6302420968067406
tyla - water (official audio) comments_scored,0.6067961165048543,0.30434782608695654,0.3516483516483517,0.7418181818181818,0.46593811985116335,0.6261670705824357
ariana grande - we can't be friends (wait for your love) (official music video) comments_scored,0.5833333333333334,0.26666666666666666,0.37349397590361444,0.7465181058495822,0.4622262494732878,0.5893051202022576
beyonc - texas hold 'em (official visualizer) comments_scored,0.5966666666666667,0.7411167512690355,0.2891566265060241,0.34146341463414637,0.45724559746973537,0.6323739330231661
sza - snooze (audio) comments_scored,0.6,0.2926829268292683,0.3333333333333333,0.7376237623762376,0.4545466741796131,0.6239938018192064
